ITERATION,MEASUREMENT,VALUE,SEED,CONTROL_GOAL_SPACE,USE_RESAMPLING
66,MPC_REWARD,-0.13104692101478577,5,False,False
69,MPC_REWARD,-0.14484193921089172,5,False,False
72,MPC_REWARD,-0.15552911162376404,5,False,False
75,MPC_REWARD,-0.1721799373626709,5,False,False
78,MPC_REWARD,-0.17241503298282623,5,False,False
81,MPC_REWARD,-0.1416417807340622,5,False,False
84,MPC_REWARD,-0.17039328813552856,5,False,False
87,MPC_REWARD,-0.17238612473011017,5,False,False
90,MPC_REWARD,-0.20156195759773254,5,False,False
93,MPC_REWARD,-0.21971136331558228,5,False,False
96,MPC_REWARD,-0.20675136148929596,5,False,False
99,MPC_REWARD,-0.18905854225158691,5,False,False
102,MPC_REWARD,-0.18464569747447968,5,False,False
105,MPC_REWARD,-0.20184360444545746,5,False,False
108,MPC_REWARD,-0.1959059089422226,5,False,False
111,MPC_REWARD,-0.20760834217071533,5,False,False
114,MPC_REWARD,-0.19009587168693542,5,False,False
117,MPC_REWARD,-0.17173516750335693,5,False,False
120,MPC_REWARD,-0.21168360114097595,5,False,False
123,MPC_REWARD,-0.20219309628009796,5,False,False
126,MPC_REWARD,-0.1938530057668686,5,False,False
129,MPC_REWARD,-0.21588890254497528,5,False,False
132,MPC_REWARD,-0.19574056565761566,5,False,False
135,MPC_REWARD,-0.20266446471214294,5,False,False
138,MPC_REWARD,-0.18944773077964783,5,False,False
141,MPC_REWARD,-0.20648719370365143,5,False,False
144,MPC_REWARD,-0.20333370566368103,5,False,False
147,MPC_REWARD,-0.18948791921138763,5,False,False
150,MPC_REWARD,-0.1885860413312912,5,False,False
153,MPC_REWARD,-0.18288441002368927,5,False,False
156,MPC_REWARD,-0.19544200599193573,5,False,False
159,MPC_REWARD,-0.20667318999767303,5,False,False
162,MPC_REWARD,-0.2084067016839981,5,False,False
165,MPC_REWARD,-0.20455043017864227,5,False,False
168,MPC_REWARD,-0.1702711433172226,5,False,False
171,MPC_REWARD,-0.18440461158752441,5,False,False
174,MPC_REWARD,-0.16771207749843597,5,False,False
177,MPC_REWARD,-0.16794809699058533,5,False,False
180,MPC_REWARD,-0.15955989062786102,5,False,False
183,MPC_REWARD,-0.1548142284154892,5,False,False
186,MPC_REWARD,-0.17883670330047607,5,False,False
189,MPC_REWARD,-0.16094842553138733,5,False,False
192,MPC_REWARD,-0.19162587821483612,5,False,False
195,MPC_REWARD,-0.1745709627866745,5,False,False
198,MPC_REWARD,-0.16555173695087433,5,False,False
0,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
1,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
2,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
3,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
4,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
5,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
6,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
7,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
8,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
9,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
10,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
11,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
12,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
13,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
14,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
15,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
16,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
17,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
18,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
19,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
20,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
21,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
22,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
23,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
24,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
25,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
26,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
27,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
28,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
29,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
30,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
31,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
32,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
33,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
34,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
35,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
36,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
37,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
38,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
39,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
40,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
41,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
42,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
43,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
44,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
45,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
46,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
47,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
48,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
49,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
50,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
51,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
52,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
53,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
54,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
55,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
56,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
57,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
58,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
59,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
60,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
61,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
62,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
63,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
64,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
65,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
66,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
67,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
68,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
69,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
70,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
71,TRANSITIONS_MOVING_GOAL[%],0.999755859375,5,False,False
72,TRANSITIONS_MOVING_GOAL[%],0.999755859375,5,False,False
73,TRANSITIONS_MOVING_GOAL[%],0.999755859375,5,False,False
74,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
75,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
76,TRANSITIONS_MOVING_GOAL[%],0.999755859375,5,False,False
77,TRANSITIONS_MOVING_GOAL[%],0.999755859375,5,False,False
78,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
79,TRANSITIONS_MOVING_GOAL[%],0.99951171875,5,False,False
80,TRANSITIONS_MOVING_GOAL[%],0.999755859375,5,False,False
81,TRANSITIONS_MOVING_GOAL[%],1.0,5,False,False
